epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9969,1.72395,10.5421,1.41302,0.77223,0.16444,0.14923,0.08785,1.16893,3.15028,1.09207,0.000410628,0.000410628,0.000410628
2,54.518,1.48315,2.98894,1.31054,0.8018,0.16889,0.16569,0.09552,1.20265,6.47059,1.14787,0.000810914,0.000810914,0.000810914
3,77.6772,1.55912,2.72444,1.38115,0.79127,0.12889,0.157,0.08575,1.28928,3.24094,1.35035,0.0011947,0.0011947,0.0011947
4,100.949,1.53905,2.53086,1.36326,0.48051,0.24833,0.18645,0.09834,1.3297,2.06923,1.28846,0.00117575,0.00117575,0.00117575
5,124.749,1.46636,2.55012,1.37941,0.82618,0.12444,0.16113,0.09563,1.21484,2.07714,1.18936,0.001151,0.001151,0.001151
6,148.489,1.42152,2.38946,1.32378,0.80863,0.13778,0.1712,0.10721,1.25224,2.29716,1.30672,0.00112625,0.00112625,0.00112625
7,172.838,1.36512,2.36191,1.3067,0.80315,0.15556,0.17704,0.11533,1.13886,2.01014,1.17762,0.0011015,0.0011015,0.0011015
8,196.9,1.40716,2.28597,1.33753,0.85129,0.15556,0.23227,0.14895,1.13244,2.00383,1.19021,0.00107675,0.00107675,0.00107675
9,220.629,1.35402,2.17517,1.27364,0.9048,0.15564,0.25445,0.15534,1.1003,1.81729,1.118,0.001052,0.001052,0.001052
10,244.618,1.34413,2.23406,1.30161,0.63145,0.28833,0.32292,0.20292,1.07836,1.67857,1.07571,0.00102725,0.00102725,0.00102725
11,268.685,1.29012,2.07876,1.27677,0.54675,0.25833,0.26313,0.16392,1.09962,1.71624,1.08969,0.0010025,0.0010025,0.0010025
12,293.744,1.27715,2.01284,1.2311,0.64877,0.29444,0.30637,0.20378,1.0434,1.58329,1.05569,0.00097775,0.00097775,0.00097775
13,317.835,1.28083,1.99655,1.23426,0.69308,0.26889,0.30861,0.20552,1.0451,1.55495,1.11086,0.000953,0.000953,0.000953
