epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8099,1.70399,5.24534,1.3624,0.00177,0.65662,0.10023,0.0503,1.30585,4.18653,1.08276,0.000410628,0.000410628,0.000410628
2,42.5715,1.45931,4.07581,1.29358,0.13853,0.22833,0.11877,0.0618,1.18738,3.36984,1.20921,0.000810914,0.000810914,0.000810914
3,57.5704,1.54974,3.67259,1.30939,0.54866,0.17249,0.09546,0.04614,1.298,2.99531,1.19456,0.0011947,0.0011947,0.0011947
4,73.7192,1.53648,3.35773,1.36841,0.49161,0.24278,0.20622,0.12066,1.1979,2.15792,1.17205,0.00117575,0.00117575,0.00117575
5,89.1965,1.43255,2.97172,1.31108,0.78306,0.19345,0.20207,0.12395,1.11904,2.51083,1.1872,0.001151,0.001151,0.001151
6,104.505,1.39327,2.71361,1.30252,0.79446,0.16889,0.20255,0.11394,1.13459,2.11275,1.15808,0.00112625,0.00112625,0.00112625
7,120.482,1.37121,2.53517,1.26588,0.54857,0.25,0.26228,0.14589,1.22751,1.9036,1.1299,0.0011015,0.0011015,0.0011015
8,136.216,1.40209,2.49027,1.30761,0.72312,0.22389,0.29504,0.17798,1.05148,1.83938,1.15006,0.00107675,0.00107675,0.00107675
9,152.223,1.33862,2.37697,1.24843,0.78636,0.21833,0.25792,0.16563,1.05484,1.8315,1.03209,0.001052,0.001052,0.001052
10,167.885,1.31371,2.2732,1.24239,0.6386,0.33506,0.30933,0.20395,1.04971,1.69563,1.04142,0.00102725,0.00102725,0.00102725
11,183.729,1.29316,2.20717,1.23677,0.5594,0.28722,0.28861,0.17428,1.0729,1.92381,1.05603,0.0010025,0.0010025,0.0010025
12,200.056,1.2724,2.13752,1.21819,0.65271,0.27444,0.32393,0.21716,0.99961,1.65176,1.04058,0.00097775,0.00097775,0.00097775
13,215.777,1.24506,2.08618,1.18812,0.666,0.34056,0.33384,0.20947,1.05386,1.63621,1.09115,0.000953,0.000953,0.000953
14,230.484,1.2364,2.05379,1.21903,0.69273,0.26444,0.33751,0.20876,1.04697,1.72638,1.07548,0.00092825,0.00092825,0.00092825
15,245.415,1.24209,2.00798,1.19259,0.74386,0.26085,0.31098,0.18375,1.05672,1.76865,1.06237,0.0009035,0.0009035,0.0009035
16,260.868,1.27138,1.98805,1.23537,0.29117,0.29058,0.30926,0.19272,1.07719,1.9868,1.09264,0.00087875,0.00087875,0.00087875
17,276.238,1.22327,1.87429,1.19051,0.63793,0.30889,0.31826,0.19693,1.02775,1.59983,1.0696,0.000854,0.000854,0.000854
18,292.087,1.17963,1.96063,1.19339,0.64212,0.30964,0.34601,0.23224,0.97458,1.48711,1.04697,0.00082925,0.00082925,0.00082925
